River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream Discharge,Down Stream Gauge,Down Stream Discharge,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Flood Limit in Lac Cusecs     (Except. High),Remarks,,
INDUS,Kalabagh,28-Aug-2025,18:00 Hrs,693.00,212324,680.20,205067,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,28-Aug-2025,18:00 Hrs,647.40,200577,613.90,189681,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Taunsa,28-Aug-2025,18:00 Hrs,446.5,264020,431.40,248020,2.5,3.75,5.00,6.50,8.00,Normal,,
INDUS,Ghazi ghat*,28-Aug-2025,18:00 Hrs,-,-,393.20,-,-,-,-,-,-,-,,
INDUS,Guddu,28-Aug-2025,18:00 Hrs,257.90,395102,252.20,364104,2.00,3.50,5.00,7.00,9.00,Medium,,
INDUS,Sukkar,28-Aug-2025,18:00 Hrs,201.00,266370,199.20,212300,2.00,3.50,5.00,7.00,9.00,Low,,
INDUS,Kotri,28-Aug-2025,18:00 Hrs,68.50,244595,59.50,211870,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,28-Aug-2025,18:00 Hrs,-,-,11.30,13940,-,-,-,-,-,-,,
JHELUM,Chattar kalas,28-Aug-2025,18:00 Hrs,-,-,16.00,24610,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,28-Aug-2025,18:00 Hrs,1222.7,20000,-,8000,0.75,1.1,1.5,2.25,3.00,Normal,,
JHELUM,Rasul,28-Aug-2025,18:00 Hrs,719,10541,694.00,5341,0.75,1.10,1.50,2.25,3.00,Normal,,
JHELUM,Khushab bridge,28-Aug-2025,18:00 Hrs,-,-,585.50,2519,-,-,-,-,-,-,,
CHENAB,Marala,28-Aug-2025,13:00 Hrs,810.00,177764,802.20,171264,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,14:00 Hrs,-,-,-,-,1.00,1.50,2.00,4.00,6.00,Normal,,
CHENAB,Marala,28-Aug-2025,15:00 Hrs,810.00,168772,801.60,164772,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,16:00 Hrs,810.00,168772,801.60,164772,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,17:00 Hrs,810.00,168772,801.60,164772,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,18:00 Hrs,810.00,163440,801.50,159440,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Khanki,28-Aug-2025,13:00 Hrs,-,NR,-,NR,1.00,1.50,2.00,4.00,6.00,-,,
CHENAB,Khanki,28-Aug-2025,14:00 Hrs,-,-,-,-,1.00,1.50,2.00,4.00,6.00,-,,
CHENAB,Khanki,28-Aug-2025,15:00 Hrs,736.40,475088,732.20,475088,1.00,1.50,2.00,4.00,6.00,Very High,,
CHENAB,Khanki,28-Aug-2025,16:00 Hrs,736.00,432258,732.00,432258,1.00,1.50,2.00,4.00,6.00,Very High,,
CHENAB,Khanki,28-Aug-2025,17:00 Hrs,735.90,335956,731.90,335956,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,28-Aug-2025,18:00 Hrs,735.90,335956,731.90,335956,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,28-Aug-2025,13:00 Hrs,701.40,754964,698.60,754964,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Qadirabad,28-Aug-2025,14:00 Hrs,-,-,-,-,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Qadirabad,28-Aug-2025,15:00 Hrs,701.40,660020,698.40,660020,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Qadirabad,28-Aug-2025,16:00 Hrs,701.40,660020,698.40,660020,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Qadirabad,28-Aug-2025,17:00 Hrs,701.40,660020,698.40,660020,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Qadirabad,28-Aug-2025,18:00 Hrs,701.20,534509,698.20,534509,1.00,1.50,2.00,4.00,6.00,Very High,,
,,,13:00 Hrs,,,594.80,539796,,,,,,,,
,,,14:00 Hrs,,,-,-,,,,,,,,
,,,15:00 Hrs,,,595.00,570200,,,,,,,,
,,,16:00 Hrs,,,595.10,585030,,,,,,,,
,,,17:00 Hrs,,,595.20,599860,,,,,,,,
CHENAB,Chiniot Bridge,28-Aug-2025,18:00 Hrs,-,-,595.30,614690,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Trimmu,28-Aug-2025,18:00 Hrs,490.20,98994,487.60,96594,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,28-Aug-2025,18:00 Hrs,338.00,72598,335.00,58108,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,28-Aug-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,28-Aug-2025,13:00 Hrs,-,-,789.00,117200,0.50,0.75,1.00,1.50,2.00,High,,
RAVI,Jassar,28-Aug-2025,14:00 Hrs,-,-,NR,NR,0.50,0.75,1.00,1.50,2.00,Normal,,
RAVI,Jassar,28-Aug-2025,15:00 Hrs,-,-,788.80,113260,0.50,0.75,1.00,1.50,2.00,High,,
RAVI,Jassar,28-Aug-2025,16:00 Hrs,-,-,788.80,113260,0.50,0.75,1.00,1.50,2.00,High,,
RAVI,Jassar,28-Aug-2025,17:00 Hrs,-,-,788.30,103410,0.50,0.75,1.00,1.50,2.00,High,,
RAVI,Jassar,28-Aug-2025,18:00 Hrs,-,-,788.10,99470,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Ravi Syphon,28-Aug-2025,13:00 Hrs,-,-,708.05,197981,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,14:00 Hrs,-,-,,,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,15:00 Hrs,-,-,708.10,202428,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,16:00 Hrs,-,-,708.15,209098,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,17:00 Hrs,-,-,708.20,213545,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,18:00 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,13:00 Hrs,-,-,690.10,188800,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,14:00 Hrs,-,-,NR,NR,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,15:00 Hrs,-,-,690.70,199600,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,16:00 Hrs,-,-,691.00,205000,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,17:00 Hrs,-,-,691.20,209220,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,18:00 Hrs,-,-,691.60,217660,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Balloki,28-Aug-2025,13:00 Hrs,633.00,106555,627.00,94655,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,14:00 Hrs,,,,,0.40,0.65,0.90,1.35,1.80,Normal,,
RAVI,Balloki,28-Aug-2025,15:00 Hrs,633.00,108475,627.40,96575,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,16:00 Hrs,633.00,108475,627.40,96575,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,17:00 Hrs,633.00,116335,627.70,104435,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,18:00 Hrs,633.00,116335,627.70,104435,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Sidhnai,28-Aug-2025,18:00 Hrs,467.00,25743,456.75,10093,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,28-Aug-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,28-Aug-2025,13:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,14:00 Hrs,-,-,NR,NR,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,15:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,16:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,17:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,18:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,Bakarke,28-Aug-2025,18:00 Hrs,-,-,627.60,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,28-Aug-2025,13:00 Hrs,569.80,109305,568.28,109305,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,14:00 Hrs,-,NR,-,NR,0.50,0.80,1.20,1.75,2.25,Normal,,
SUTLEJ,Sulemanki,28-Aug-2025,15:00 Hrs,570.00,111277,568.40,111277,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,16:00 Hrs,570.00,111277,568.40,111277,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,17:00 Hrs,570.00,112954,568.40,112954,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,18:00 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Islam,28-Aug-2025,18:00 Hrs,453.00,54756,446.60,52706,0.50,0.80,1.20,1.75,2.25,Low,,
SUTLEJ,M/Syphon,28-Aug-2025,18:00 Hrs,422.80,46635,422.80,46635,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,28-Aug-2025,18:00 Hrs,-,-,-,-,-,-,-,-,-,,,
N/BEIN,Shakar Gargh,28-Aug-2025,18:00 Hrs,-,-,878.60,2029,0.016,0.030,0.240,0.260,0.43,Low,,
N/DEG,Kingra Bridge,28-Aug-2025,18:00 Hrs,-,-,887.00,3025,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,28-Aug-2025,18:00 Hrs,-,-,831.8,28102,0.020,0.090,0.130,0.160,0.330,Very High,,
N/BASANTER,Narowal,28-Aug-2025,18:00 Hrs,-,-,788.80,5867,0.025,0.041,0.075,0.116,0.178,Medium,,
N/PALKHU,Wazirabad,28-Aug-2025,18:00 Hrs,-,-,750.00,20100,0.025,0.031,0.050,0.250,0.260,High,,
KABUL,Nowshehra,28-Aug-2025,23:59 Hrs,-,-,6.21,32700,0.60,0.90,1.40,2.00,-,Normal,,
INDUS,Tarbela,28-Aug-2025,23:59 Hrs,1549.7,191000,-,155400,2.5,3.75,5.00,6.50,8.00,Normal,,
INDUS,khairabad,28-Aug-2025,23:59 Hrs,-,-,23.00,230600,2.25,3.75,5.00,6.50,8.00,Low,,
INDUS,Kalabagh,28-Aug-2025,23:59 Hrs,693.00,181049,679.40,173792,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,28-Aug-2025,23:59 Hrs,647.50,194830,613.60,187530,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Taunsa,28-Aug-2025,23:59 Hrs,446.5,249377,431.20,233377,2.5,3.75,5.00,6.50,8.00,Normal,,
INDUS,Ghazi ghat*,28-Aug-2025,23:59 Hrs,-,-,393.20,-,-,-,-,-,-,-,,
INDUS,Guddu,28-Aug-2025,23:59 Hrs,257.90,395102,252.20,364104,2.00,3.50,5.00,7.00,9.00,Medium,,
INDUS,Sukkar,28-Aug-2025,23:59 Hrs,201.00,266370,199.20,212300,2.00,3.50,5.00,7.00,9.00,Low,,
INDUS,Kotri,28-Aug-2025,23:59 Hrs,68.50,244595,59.50,211870,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,28-Aug-2025,23:59 Hrs,-,-,11.20,13480,-,-,-,-,-,-,,
JHELUM,Chattar kalas,28-Aug-2025,23:59 Hrs,-,-,15.50,26030,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,28-Aug-2025,23:59 Hrs,1222.85,26000,-,8000,0.75,1.1,1.5,2.25,3.00,Normal,,
JHELUM,Rasul,28-Aug-2025,23:59 Hrs,719,10541,694.00,5341,0.75,1.10,1.50,2.25,3.00,Normal,,
JHELUM,Khushab bridge,28-Aug-2025,23:59 Hrs,-,-,585.50,2519,-,-,-,-,-,-,,
CHENAB,Marala,28-Aug-2025,19:00 Hrs,810.00,163440,801.50,159440,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,20:00 Hrs,810.00,154040,801.40,150040,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,21:00 Hrs,810.00,154040,801.40,150040,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,22:00 Hrs,810.00,154040,801.40,150040,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Marala,28-Aug-2025,23:00 Hrs,810.00,139820,801.30,135820,1.00,1.50,2.00,4.00,6.00,Low,,
CHENAB,Marala,28-Aug-2025,23:59 Hrs,810.00,110496,800.80,106496,1.00,1.50,2.00,4.00,6.00,Low,,
CHENAB,Khanki,28-Aug-2025,19:00 Hrs,735.90,335956,731.90,335956,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,28-Aug-2025,20:00 Hrs,NR,259815,NR,259815,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,28-Aug-2025,21:00 Hrs,NR,259815,NR,259815,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,28-Aug-2025,22:00 Hrs,NR,246768,NR,246768,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,28-Aug-2025,23:00 Hrs,NR,242676,NR,242676,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,28-Aug-2025,23:59 Hrs,NR,242676,NR,242676,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,28-Aug-2025,19:00 Hrs,701.20,534509,698.20,534509,1.00,1.50,2.00,4.00,6.00,Very High,,
CHENAB,Qadirabad,28-Aug-2025,20:00 Hrs,701.00,425993,697.00,425993,1.00,1.50,2.00,4.00,6.00,Very High,,
CHENAB,Qadirabad,28-Aug-2025,21:00 Hrs,701.00,368722,696.60,368722,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,28-Aug-2025,22:00 Hrs,701.00,368722,696.60,368722,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,28-Aug-2025,23:00 Hrs,701.00,368722,696.60,368722,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,28-Aug-2025,23:59 Hrs,701.00,305436,696.40,305436,1.00,1.50,2.00,4.00,6.00,High,,
,,,19:00 Hrs,,,595.40,629520,,,,,,,,
,,,20:00 Hrs,,,595.50,644350,,,,,,,,
,,,21:00 Hrs,,,595.60,659180,,,,,,,,
,,,22:00 Hrs,,,595.70,674010,,,,,,,,
,,,23:00 Hrs,,,595.80,688840,,,,,,,,
CHENAB,Chiniot Bridge,28-Aug-2025,23:59 Hrs,-,-,596.00,718500,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Trimmu,28-Aug-2025,23:59 Hrs,490.20,119934,487.90,117534,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,28-Aug-2025,23:59 Hrs,338.00,72598,335.00,58108,1.50,2.00,3.00,4.50,6.00,Normal,,
RAVI,Thein,28-Aug-2025,23:59 Hrs,-,-,-,-,-,-,-,-,-,-,,
RAVI,Jassar,28-Aug-2025,19:00 Hrs,-,-,788.10,99470,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Jassar,28-Aug-2025,20:00 Hrs,-,-,788.10,99470,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Jassar,28-Aug-2025,21:00 Hrs,-,-,788.10,99470,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Jassar,28-Aug-2025,22:00 Hrs,-,-,788.10,99470,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Jassar,28-Aug-2025,23:00 Hrs,-,-,788.00,97500,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Jassar,28-Aug-2025,23:59 Hrs,-,-,787.90,95580,0.50,0.75,1.00,1.50,2.00,Medium,,
RAVI,Ravi Syphon,28-Aug-2025,19:00 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,20:00 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,21:00 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,22:00 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,23:00 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Ravi Syphon,28-Aug-2025,23:59 Hrs,-,-,708.25,220627,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,19:00 Hrs,-,-,691.70,219770,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,20:00 Hrs,-,-,691.70,219770,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,21:00 Hrs,-,-,691.70,219770,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,22:00 Hrs,-,-,691.70,219770,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,23:00 Hrs,-,-,691.70,219770,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Shahdara,28-Aug-2025,23:59 Hrs,-,-,691.70,219770,0.40,0.65,0.90,1.35,1.80,Exp. High,,
RAVI,Balloki,28-Aug-2025,19:00 Hrs,633.00,116335,627.70,104435,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,20:00 Hrs,633.00,116335,627.70,104435,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,21:00 Hrs,633.00,117490,627.80,105590,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,22:00 Hrs,633.00,124855,628.00,112855,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,23:00 Hrs,633.00,124855,628.00,112955,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Balloki,28-Aug-2025,23:59 Hrs,633.00,126010,628.00,114110,0.40,0.65,0.90,1.35,1.80,High,,
RAVI,Sidhnai,28-Aug-2025,23:59 Hrs,467.00,25443,456.75,10093,0.30,0.46,0.60,0.90,1.30,Normal,,
SUTLEJ,Bhakara**,28-Aug-2025,23:59 Hrs,-,-,-,-,-,-,-,-,-,-,,
SUTLEJ,G.S Wala*,28-Aug-2025,19:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,20:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,21:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,22:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,23:00 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,G.S Wala*,28-Aug-2025,23:59 Hrs,-,-,23.00,261053,0.50,0.80,1.20,1.75,2.25,Exp. High,,
SUTLEJ,Bakarke,28-Aug-2025,23:59 Hrs,-,-,627.70,Nil,-,-,-,-,-,-,,
SUTLEJ,Sulemanki,28-Aug-2025,19:00 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,20:00 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,21:00 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,22:00 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,23:00 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Sulemanki,28-Aug-2025,23:59 Hrs,570.00,113124,568.45,113124,0.50,0.80,1.20,1.75,2.25,Medium,,
SUTLEJ,Islam,28-Aug-2025,23:59 Hrs,453.00,54756,446.60,52706,0.50,0.80,1.20,1.75,2.25,Low,,
SUTLEJ,M/Syphon,28-Aug-2025,23:59 Hrs,422.80,46635,422.80,46635,0.50,0.80,1.20,1.75,-,Normal,,
BEAS,Pong,28-Aug-2025,23:59 Hrs,-,-,-,-,-,-,-,-,-,,,
N/BEIN,Shakar Gargh,28-Aug-2025,23:59 Hrs,-,-,878.60,2029,0.016,0.030,0.240,0.260,0.43,Low,,
N/DEG,Kingra Bridge,28-Aug-2025,23:59 Hrs,-,-,887.00,3025,0.100,0.150,0.220,0.300,-,Normal,,
N/AIK,Ura,28-Aug-2025,23:59 Hrs,-,-,830,21700,0.020,0.090,0.130,0.160,0.330,Very High,,
N/BASANTER,Narowal,28-Aug-2025,23:59 Hrs,-,-,788.60,5626,0.025,0.041,0.075,0.116,0.178,Medium,,
N/PALKHU,Wazirabad,28-Aug-2025,23:59 Hrs,-,-,749.60,17700,0.025,0.031,0.050,0.250,0.260,High,,
KABUL,Nowshehra,29-Aug-2025,06:00 Hrs,-,-,6.06,31700,0.60,0.90,1.40,2.00,-,Normal,,
INDUS,Tarbela,29-Aug-2025,06:00 Hrs,1550,183000,-,155200,2.5,3.75,5.00,6.50,8.00,Normal,,
INDUS,khairabad,29-Aug-2025,06:00 Hrs,-,-,20.00,205900,2.25,3.75,5.00,6.50,8.00,Normal,,
INDUS,Kalabagh,29-Aug-2025,06:00 Hrs,693.50,195302,679.60,187795,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Chashma,29-Aug-2025,06:00 Hrs,647.50,208434,613.70,202434,2.50,3.75,5.00,6.50,8.00,Normal,,
INDUS,Taunsa,29-Aug-2025,06:00 Hrs,446.5,238683,431.10,222683,2.5,3.75,5.00,6.50,8.00,Normal,,
INDUS,Ghazi ghat*,29-Aug-2025,06:00 Hrs,-,-,393.20,-,-,-,-,-,-,-,,
INDUS,Guddu,29-Aug-2025,06:00 Hrs,257.00,366251,252.60,335807,2.00,3.50,5.00,7.00,9.00,Low,,
INDUS,Sukkar,29-Aug-2025,06:00 Hrs,200.80,284970,199.30,229500,2.00,3.50,5.00,7.00,9.00,Low,,
INDUS,Kotri,29-Aug-2025,06:00 Hrs,67.70,247143,59.60,214398,2.50,4.00,5.00,6.50,8.00,Normal,,
JHELUM,Kotli,29-Aug-2025,06:00 Hrs,-,-,11.00,12600,-,-,-,-,-,-,,
JHELUM,Chattar kalas,29-Aug-2025,06:00 Hrs,-,-,15.70,26620,1.00,1.50,2.00,3.00,-,Normal,,
JHELUM,Mangla,29-Aug-2025,06:00 Hrs,1223,26000,-,8000,0.75,1.1,1.5,2.25,3.00,Normal,,
JHELUM,Rasul,29-Aug-2025,06:00 Hrs,719,10541,694.00,5341,0.75,1.10,1.50,2.25,3.00,Normal,,
JHELUM,Khushab bridge,29-Aug-2025,06:00 Hrs,-,-,585.60,2619,-,-,-,-,-,-,,
CHENAB,Marala,29-Aug-2025,06:00 Hrs,810.00,122900,801.00,118900,1.00,1.50,2.00,4.00,6.00,Low,,
CHENAB,Khanki,29-Aug-2025,01:00 Hrs,NR,242676,NR,242676,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,29-Aug-2025,02:00 Hrs,,216469,,216469,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,29-Aug-2025,03:00 Hrs,,216469,,216469,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,29-Aug-2025,04:00 Hrs,733.00,205007,731.40,205007,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Khanki,29-Aug-2025,05:00 Hrs,732.50,186365,731.20,186365,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Khanki,29-Aug-2025,06:00 Hrs,733.00,188100,731.10,188100,1.00,1.50,2.00,4.00,6.00,Medium,,
CHENAB,Qadirabad,29-Aug-2025,01:00 Hrs,701.00,305436,696.40,305436,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,29-Aug-2025,02:00 Hrs,701.00,265776,696.30,265776,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,29-Aug-2025,03:00 Hrs,701.00,265776,696.30,265776,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,29-Aug-2025,04:00 Hrs,701.00,265776,696.30,265776,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,29-Aug-2025,05:00 Hrs,701.00,250544,695.80,250544,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Qadirabad,29-Aug-2025,06:00 Hrs,701.00,222812,695.10,222812,1.00,1.50,2.00,4.00,6.00,High,,
CHENAB,Chiniot Bridge,29-Aug-2025,01:00 Hrs,-,-,596.10,730900,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Chiniot Bridge,29-Aug-2025,02:00 Hrs,-,-,596.20,743300,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Chiniot Bridge,29-Aug-2025,03:00 Hrs,-,-,596.40,768100,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Chiniot Bridge,29-Aug-2025,04:00 Hrs,-,-,596.50,780500,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Chiniot Bridge,29-Aug-2025,05:00 Hrs,-,-,596.60,792900,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Chiniot Bridge,29-Aug-2025,06:00 Hrs,-,-,596.70,805300,1.00,1.50,2.00,4.00,6.00,Exp. High,,
CHENAB,Trimmu,29-Aug-2025,06:00 Hrs,490.20,122045,488.00,119645,1.50,2.00,3.00,4.50,6.00,Normal,,
CHENAB,Punjnad,29-Aug-2025,06:00 Hrs,338.00,70841,334.90,56351,1.50,2.00,3.00,4.50,6.00,Normal,,
